Init: HR = 0.0934, NDCG = 0.0429
Iteration 61 [92.6 s]: HR = 0.6795, NDCG = 0.4065, loss = 0.2165 [3.6 s]
Iteration 62 [93.0 s]: HR = 0.6836, NDCG = 0.4064, loss = 0.2164 [3.6 s]
Iteration 63 [93.3 s]: HR = 0.6820, NDCG = 0.4065, loss = 0.2163 [3.6 s]
Iteration 64 [93.5 s]: HR = 0.6825, NDCG = 0.4054, loss = 0.2162 [3.6 s]
Iteration 65 [93.0 s]: HR = 0.6811, NDCG = 0.4059, loss = 0.2163 [3.6 s]
Iteration 66 [93.0 s]: HR = 0.6776, NDCG = 0.4030, loss = 0.2161 [3.6 s]
Iteration 67 [93.3 s]: HR = 0.6826, NDCG = 0.4065, loss = 0.2157 [3.7 s]
Iteration 68 [93.1 s]: HR = 0.6843, NDCG = 0.4083, loss = 0.2157 [3.6 s]
Iteration 69 [93.1 s]: HR = 0.6795, NDCG = 0.4032, loss = 0.2154 [3.6 s]
Iteration 70 [93.2 s]: HR = 0.6768, NDCG = 0.4028, loss = 0.2155 [3.6 s]
Iteration 71 [93.2 s]: HR = 0.6790, NDCG = 0.4039, loss = 0.2156 [3.6 s]
Iteration 72 [93.2 s]: HR = 0.6780, NDCG = 0.4037, loss = 0.2155 [3.5 s]
Iteration 73 [92.8 s]: HR = 0.6770, NDCG = 0.4022, loss = 0.2152 [3.7 s]
Iteration 74 [93.4 s]: HR = 0.6798, NDCG = 0.4042, loss = 0.2151 [3.6 s]
Iteration 75 [93.9 s]: HR = 0.6772, NDCG = 0.3994, loss = 0.2152 [3.6 s]
Iteration 76 [93.0 s]: HR = 0.6752, NDCG = 0.4021, loss = 0.2149 [3.6 s]
Iteration 77 [93.6 s]: HR = 0.6694, NDCG = 0.4019, loss = 0.2151 [3.7 s]
Iteration 78 [93.3 s]: HR = 0.6743, NDCG = 0.4019, loss = 0.2146 [3.7 s]
Iteration 79 [92.8 s]: HR = 0.6773, NDCG = 0.4012, loss = 0.2147 [3.5 s]
Iteration 80 [93.5 s]: HR = 0.6724, NDCG = 0.4005, loss = 0.2146 [3.6 s]
Iteration 81 [93.1 s]: HR = 0.6780, NDCG = 0.4052, loss = 0.2148 [3.7 s]
